Beschäftigtenindex;Verkehr und Lagerei;-3,9;-3,8;-4;-3,1;-2,9;-2,7;-2,7;-2,5;-2,3;-1,5;-1,5;-2|
Beschäftigtenindex;Information und Kommunikation;4,2;4;5;4,2;4,1;4,9;4,5;5,1;4,7;3,9;3,1;3,1|
Beschäftigtenindex;Grundstücks- und Wohnungswesen;-2,8;-3,2;-3,5;-3,6;-3,7;-2,7;-0,7;-0,5;-0,6;-0,7;-0,6;-0,7|
Beschäftigtenindex;Freiberufliche,wiss.u.techn.Dienstleistg.;1,2;1,6;1,7;1,1;1,4;2,1;1,9;2,1;1,7;1,8;1,7;1,8|
Beschäftigtenindex;Sonst.wirtschaftl.Dienstleistg.;-0,4;-0,8;-1,5;-1,2;-1,3;-1,1;1;0,6;0,6;1;-0,4;0,3|
Beschäftigtenindex;Dienstleistungen zusammen;-0,8;-0,8;-1,1;-0,9;-0,8;-0,4;0,4;0,4;0,4;0,7;0,1;0,2|
Beschäftigtenindex;Dienstleistungen zusammen ohne L;-0,6;-0,7;-0,9;-0,7;-0,6;-0,3;0,5;0,5;0,4;0,8;0,1;0,2|
Umsatzindex nominal;Verkehr und Lagerei;8,9;6,4;3,8;-2,9;-7,5;-1,3;-6,5;-2,1;-4,7;4,7;-3,1;-3,3|
Umsatzindex nominal;Information und Kommunikation;12,2;3,2;9,6;-2;7,4;8,7;3,4;11,3;3;11,4;2,1;4,9|
Umsatzindex nominal;Grundstücks- und Wohnungswesen;-11,2;-14,6;-13,9;-21,6;-10,4;-11,9;-9,2;-8,3;-3,5;-5,8;-0,6;-8,7|
Umsatzindex nominal;Freiberufliche,wiss.u.techn.Dienstleistg.;9;19,1;15,1;9,4;11,8;15,2;14,7;15,8;7,8;5,2;7,5;4|
Umsatzindex nominal;Sonst.wirtschaftl.Dienstleistg.;17,2;9,6;13,4;8,4;11,5;10,3;7,4;10,6;8,1;5,3;6,3;3,2|
Umsatzindex nominal;Dienstleistungen zusammen;9,4;6,9;7,5;-0,3;2,2;4,5;1,4;5,1;1,5;5,1;1,9;0,6|
Umsatzindex nominal;Dienstleistungen zusammen ohne L;11,4;8,9;9,2;2,1;3,4;6,7;2,5;6,7;2;6,1;2,1;1,8|
Umsatzindex real;Verkehr und Lagerei;7,8;6,2;4,7;1,2;-2,9;5,9;0,2;5,6;0,3;10;0,6;0,9|
Umsatzindex real;Information und Kommunikation;9,9;0,6;6,5;-4,8;4,5;5,6;0,2;7,9;0;8,4;-0,5;3|
Umsatzindex real;Grundstücks- und Wohnungswesen;-12,8;-16,1;-15,3;-23;-11,9;-13,5;-10,8;-9,9;-5,2;-7,5;-2,3;-10,2|
Umsatzindex real;Freiberufliche,wiss.u.techn.Dienstleistg.;4;12,8;9,4;4,1;6,7;10,3;9,9;10,8;3,5;0,9;3,6;1|
Umsatzindex real;Sonst.wirtschaftl.Dienstleistg.;9,4;2,1;4,7;1,5;3,6;3,4;0,9;3,9;1,5;-0,5;0,2;-0,8|
Umsatzindex real;Dienstleistungen zusammen;6,1;3,5;4,4;-1,9;0,8;3,8;0,9;4,8;0,5;4,3;0,7;-0,1|
Umsatzindex real;Dienstleistungen zusammen ohne L;7,9;5,4;6;0,6;2;6,2;2,2;6,7;1,2;5,5;0,9;1,2|
